ID,UFINCA,DERECHOS,PLANO_CAT,AREA_PL,AREA_ER,PROVINCIA,CANTON,DISTRITO,DIRECCION,TELEFONO,IMAGEN_PC,IMAGEN_EC,IMAGEN_EP,IMAGEN_PJ,OBSERVAC
"99",2-00450725,"1",A-0955529-2004,"1,122.52","1,122.52",ALAJUELA ,OROTINA,LA CEIBA ,,,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00450725\A-0955529-2004.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00450725\2-00450725.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00450725\A-0955529-2004_EP.pdf,,
"100",2-00452506,"1",A-1322947-2009,"1,147.62","1,147.62",ALAJUELA ,OROTINA,LA CEIBA ,,,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00452506\A-1322947-2009.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00452506\2-00452506.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00452506\A-1322947-2009_EP.pdf,,
"101",2-00499129,"2",A-1121626-2006,"1,229.08","1,229.08",ALAJUELA ,OROTINA,LA CEIBA ,,,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00499129\A-1121626-2006.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00499129\2-00499129.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00499129\A-1121626-2006_EP.pdf,,
"102",2-00283196,"1",A-1217014-2008,"32,884.22","32,884.22",ALAJUELA ,OROTINA,LA CEIBA ,,,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00283196\A-1217014-2008.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00283196\2-00283196.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00283196\A-1217014-2008_EP.pdf,,
"103",2-00256291,"1",A-1506785-2011,"217,455.00","181,180.00",ALAJUELA ,OROTINA,LA CEIBA ,,,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00256291\A-1506785-2011.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00256291\2-00256291.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00256291\A-1506785-2011_EP.pdf,,
"104",2-00543895,"1",A-1837095-2015,"36,275.00","36,275.00",ALAJUELA ,OROTINA,LA CEIBA ,,,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00543895\A-1837095-2015.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00543895\2-00543895.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00543895\A-1837095-2015_EP.pdf,,
"105",2-00379613,"1",A-0782569-2002,"138,172.92","138,172.92",ALAJUELA ,OROTINA,LA CEIBA ,,,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00379613\A-0782569-2002.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00379613\2-00379613.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00379613\A-0782569-2002_EP.pdf,,
"106",6-00085765,"2",A-0142611-1993,"36,172.78","36,172.78",PUNTARENAS,ESPARZA,SAN JUAN GRANDE  ,,,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\6-00085765\A-0142611-1993.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\6-00085765\6-00085765.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\6-00085765\A-0142611-1993_EP.pdf,,
"107",2-00401339,"1",A-0667022-2000,"1,510.49","1,510.49",ALAJUELA ,OROTINA ,LA CEIBA ,,,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00401339\A-0667022-2000.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00401339\2-00401339.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00401339\A-0667022-2000_EP.pdf,,
"108",2-00570233,"1",A-01972563-2017,"5,826.00","5,826.00",ALAJUELA,ATENAS,ESCOBAL,,,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00570233\A-01972563-2017.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00570233\2-00570233.pdf,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\FINCAS_MADRES\2-00570233\A-01972563-2017_EP.pdf,,
