ID,NUMERO,PROPIETARIO,NUMERO_EXP,UFINCA,PLANO_EXP,AREA_EXP,TIPO_EXP,SECCION,KM_INI,KM_FI,FECHA_IN,OFICIO_IN,FECHA_FI,FINCA_MAD,MONTO_AVA,NUM_AVA,ESTADO,IMAGEN_PE,OBSERVAC,PROCESO
"48",SI-1-2,ESTADO-MINISTERIO DE OBRAS PUBLICAS Y TRANSPORTES,2020-06,1-00730964,SJ-2196855-2020,"110",PARCIAL,"1",6+350,6+360,01-ENE-2020,,10-NOV-2022,1-00545083,"40174331.00",010-2021,PROPIEDAD A NOMBRE DEL ESTADO,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_ESTADO\1-00730964\SJ-2196855-2020.pdf,,FINALIZADO
"9",P-4,ESTADO-MINISTERIO DE OBRAS PUBLICAS Y TRANSPORTES,2019-05,2-00593814,A-2140785-2019,"252",PARCIAL,"2",20+890,20+950,01-ENE-2019,,17-SEP-2020,2-00245936,"7641744.00",011-2019,PROPIEDAD A NOMBRE DEL ESTADO,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_ESTADO\2-00593814\A-2140785-2019.pdf,,FINALIZADO
"119",,,2023-03,,SJ-2298226-2021,"224",PARCIAL,"2",15+220,15+290,01-ENE-2023,,,1-00419969,"31900000.00",,ELABORACION AVALUO,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_PROCESO\SJ-2298226-2021.pdf,,EN PROCESO
"120",,,2023-04,,A-0042950-2023,"1010",PARCIAL,"2",44+525,44+600,01-ENE-2023,,,2-00520295,,,SOLICITUD FIRMA Y PUBLICACION DECLARATORIA,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_PROCESO\A-0042950-2023.pdf,,EN PROCESO
"87",SIII-22-18,,SN,,P-0045130-2022,"454",PARCIAL,"3",75+800,75+900,01-ENE-2023,,,6-00149011,"18160000.00",,DETENIDO,,,EN PROCESO
"10",P-13,ESTADO-MINISTERIO DE OBRAS PUBLICAS Y TRANSPORTES,2019-06,2-00588495,A-2132716-2019,"2146",PARCIAL,"2",28+200,28+360,01-ENE-2019,,03-ABR-2020,2-00119874,"57068064.00",012-2019,PROPIEDAD A NOMBRE DEL ESTADO,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_ESTADO\2-00588495\A-2132716-2019.pdf,,FINALIZADO
"11",P-12,ESTADO-MINISTERIO DE OBRAS PUBLICAS Y TRANSPORTES,2019-06,2-00588494,A-2132714-2019,"806",PARCIAL,"2",28+120,28+170,01-ENE-2019,,03-ABR-2020,2-00119874,"57068064.00",012-2019,PROPIEDAD A NOMBRE DEL ESTADO,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_ESTADO\2-00588494\A-2132714-2019.pdf,,FINALIZADO
"8",P-21,ESTADO-MINISTERIO DE OBRAS PUBLICAS Y TRANSPORTES,2019-04,2-00590906,A-2140093-2019,"1021",PARCIAL,"2",37+540,37+650,01-ENE-2019,,19-JUN-2020,2-00129658,"6589501.00",014-2019,PROPIEDAD A NOMBRE DEL ESTADO,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_ESTADO\2-00590906\A-2140093-2019.pdf,,FINALIZADO
"88",SIII-22-13,,SN,,P-0031542-2022,"3016",PARCIAL,"3",76+019,75+810,01-ENE-2023,,,6-00096725,"120640000.00",,DETENIDO,,,EN PROCESO
"7",P-15,ESTADO-MINISTERIO DE OBRAS PUBLICAS Y TRANSPORTES,2019-03,2-00594273,A-2135052-2019,"57",PARCIAL,"2",21+510,21+525,01-ENE-2019,,30-SEP-2020,2-00519996,"4814767.00",005-2019,PROPIEDAD A NOMBRE DEL ESTADO,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_ESTADO\2-00594273\A-2135052-2019.pdf,,FINALIZADO
"14",P-14,ESTADO-MINISTERIO DE OBRAS PUBLICAS Y TRANSPORTES,2019-08,2-00590851,A-2135051-2019,"31",PARCIAL,"2",21+485,21+510,01-ENE-2019,,18-JUN-2020,2-00528217,"5877022.00",004-2019,PROPIEDAD A NOMBRE DEL ESTADO,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_ESTADO\2-00590851\A-2135051-2019.pdf,,FINALIZADO
"15",P-16,ESTADO-MINISTERIO DE OBRAS PUBLICAS Y TRANSPORTES,2019-09,2-00632449,A-2135935-2019,"60",PARCIAL,"2",21+525,21+540,01-ENE-2019,,28-SEP-2023,2-00524949,"8799991.00",006-2019,PROPIEDAD A NOMBRE DEL ESTADO,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_ESTADO\2-00632449\A-2135935-2019.pdf,,FINALIZADO
"39",P-10,,2019-30,,A-2154236-2019,"145",PARCIAL,"2",21+290,21+315,01-ENE-2019,,,2-00096824,"36702822.00",034-2019,DETENIDO,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_PROCESO\A-2154236-2019.pdf,,EN PROCESO
"41",,,2020-01,,A-2186438-2020,"466",PARCIAL,"2",39+820,39+910,01-ENE-2020,,,2-00035838,"4020588.00",038-2019,EN EL JUZGADO,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_PROCESO\A-2186438-2020.pdf,,EN PROCESO
"37",P-26,,2019-28,,A-2139759-2019,"177",PARCIAL,"2",39+100,,01-ENE-2019,,,2-00420488,,,DETENIDO,,,
"38",P-30,,2019-29,,A-2139762-2019,"584",PARCIAL,"3",57+435,,01-ENE-2019,,,2-00284398,,,DETENIDO,,,
"42",SII-7,,2020-02,,A-2202939-2020,"3256",PARCIAL,"2",28+855,29+000,01-ENE-2020,,,2-00266346,"181868401.00",005-2020,EN EL JUZGADO,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_PROCESO\A-2202939-2020.pdf,,EN PROCESO
"43",SII-6-3,,2020-02,,A-2202938-2020,"1301",PARCIAL,"2",28+650,28+800,01-ENE-2020,,,2-00266346,"181868401.00",005-2020,EN EL JUZGADO,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_PROCESO\A-2202938-2020.pdf,,EN PROCESO
"44",SII-8,,2020-02,,A-2205697-2020,"11748",PARCIAL,"2",29+035,29+495,01-ENE-2020,,,2-00266346,"181868401.00",005-2020,EN EL JUZGADO,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_PROCESO\A-2205697-2020.pdf,,EN PROCESO
"45",SII-10-1,,2020-03,,A-2202947-2020,"1019",PARCIAL,"2",32+845,32+955,01-ENE-2020,,,2-00090926,"16588710.00",007-2020,EN EL JUZGADO,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_PROCESO\A-2202947-2020.pdf,,EN PROCESO
"47",SI-2,,2020-05,,SJ-2225589-2020,"976",PARCIAL,"1",6+370,6+400,01-ENE-2020,,,1-00542465,"187584034.00",003-2020,EN EL JUZGADO,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_PROCESO\SJ-2225589-2020.pdf,,EN PROCESO
"124",SIII-23-65-1,,,,A-0039430-2023,"317",PARCIAL,"3",54+360,54+440,05-JUN-2023,CNC-APD-0127-2023,,2-00247227,,,ELABORACION DE GESTORIA ,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_PROCESO\A-0039430-2023.pdf,,SIN INICIAR
"49",SI-3,ESTADO-MINISTERIO DE OBRAS PUBLICAS Y TRANSPORTES,2020-07,1-00715245,SJ-2196857-2020,"84",PARCIAL,"1",7+380,7+410,01-ENE-2020,,17-DIC-2020,1-00277472,"73240681.00",008-2020,PROPIEDAD A NOMBRE DEL ESTADO,C:\Users\LP07\Desktop\PROYECTO_SIG_CNC\EXPROPIACION\FINCAS_ESTADO\1-00715245\SJ-2196857-2020.pdf,,FINALIZADO
"156",SIII-23-87-5,,,,SIII-23-87-5,"0",PARCIAL,"3",70+206,70+247,05-JUN-2023,CNC-APD-0127-2023,,2-00448467,,,,,,SIN INICIAR
